Congruent,Incongruent,,,,,Æ½¾ùÊý,,,,,,,,,
8.63,15.687,,,,14.3565,14.051125,29.38865048,3.559357958,4.797057122,40.05522837,,,,,
8.987,17.394,,,,,22.01591667,25.64541266,,,21.36214449,,,7.964791667,,
9.401,17.425,,,,,,21.62370902,,,21.07654645,,,6.532250554,,
9.564,17.51,,,,,,20.13433564,,,20.30331505,,,,,
10.639,17.96,,,,,,11.64263114,,,16.45048705,,,,,
11.344,18.644,,,,,,7.328552837,,,11.36984449,,,,,
12.079,18.741,,,,,,3.889296737,,,10.72510101,,,,,
12.13,19.278,,,,,,3.690740477,,,7.496205926,,,,,
12.238,20.33,,,,,,3.287440397,,,2.842326246,,,,,
12.369,20.429,,,,,,2.829561337,,,2.518315086,,,,,
12.944,20.762,,,,,,1.225736837,,,1.572315366,,,,,
14.233,20.878,,21.0175,,,,0.033076697,,,1.294861926,,,,,
14.48,21.157,,,,,,0.183929477,,,0.737743566,,,,,
14.669,21.214,,,,,,0.381763337,,,0.643075686,,,,,
14.692,22.058,,,,,,0.410714357,,,0.001770726,,,,,
15.073,22.158,,,,,,1.044218297,,,0.020186726,,,,,
15.298,22.803,,,,,,1.554684797,,,0.619494926,,,,,
16.004,23.894,,,,,,3.813701237,,,3.527184486,,,,,
16.791,24.524,,,,,,7.506887617,,,6.290465286,,,,,
16.929,24.572,,,,,,8.282135737,,,6.533544966,,,,,
18.2,25.139,,,,,,17.21312228,,,9.753628686,,,,,
18.495,26.282,,,,,,19.74798058,,,18.19943857,,,,,
19.71,34.288,,,,,,32.02280968,,,150.6039475,,,,,
22.328,35.255,,,,,,68.506577,,,175.2732392,,,,,
,,,,,,,291.3876686,,,529.2704118,,,17.84039305,,1.219302842
,,,,,,,,3.559357958,,,,,,,
